Wave,#,Company,Name,Title,LinkedIn URL,Email,Phone,Primary Target,Role Relevance,Company Context
1,1,NewRocket,Harsha Kumar,CEO,https://www.linkedin.com/in/harsha-kumar/,,,No,"CEO with deep enterprise transformation background (ex-Prodapt CEO). Sets strategic direction for partnerships and go-to-market.","ServiceNow Elite Partner. UX-forward ServiceNow work. Launched Flightpath.AI for applied GenAI. Strong VSA adjacency through employee experience and portal work."
1,2,NewRocket,Jason Rosenfeld,Chief Growth & Alliances Officer,https://www.linkedin.com/in/jasonlrosenfeld/,,,Yes,"Owns all partnership and alliance strategy. Former CEO of Cask NX — deep ServiceNow ecosystem relationships. Newly appointed (Aug 2025).","ServiceNow Elite Partner. UX-forward ServiceNow work. Launched Flightpath.AI for applied GenAI. Strong VSA adjacency through employee experience and portal work."
1,3,NewRocket,Kirk Hogan,"VP, Technology, Platform & Integrations Strategy",https://www.linkedin.com/in/kirk-hogan-6b132b5/,,,No,"Leads technology strategy including AI adoption. Quoted on Flightpath.AI launch. Evaluates partner technology integrations.","ServiceNow Elite Partner. UX-forward ServiceNow work. Launched Flightpath.AI for applied GenAI. Strong VSA adjacency through employee experience and portal work."
1,4,NewRocket,Melissa Cohoe,"Global Security, Risk & Resilience Strategist",,,,No,"Senior strategist in the ServiceNow security and risk practice. Secondary contact for workflow automation use cases in GRC.","ServiceNow Elite Partner. UX-forward ServiceNow work. Launched Flightpath.AI for applied GenAI. Strong VSA adjacency through employee experience and portal work."
1,5,GlideFast Consulting,Brett Karl,"VP, Partner Alliances & Solutions",https://www.linkedin.com/in/brettkarl/,,,Yes,"Owns partner alliances and solution strategy. Former ServiceNow Director (Platform Architecture, 2019-2021). Led 3CLogic partnership expansion. Partner intake door.","Elite ServiceNow Partner (Apex Systems). 2026 Partner of the Year (Data & Analytics — Americas). Strong automation positioning. Already partners with 3CLogic for voice/contact center."
1,6,GlideFast Consulting,Joshua Young,"SVP, Solutions Consulting & Innovation",https://www.linkedin.com/in/joshyoung/,,,Yes,"Owns solutions consulting and innovation. Previously VP Solutions & Innovation at Acorio. Decides which new solutions GlideFast brings to market. Hosts ServiceNow podcast.","Elite ServiceNow Partner (Apex Systems). 2026 Partner of the Year (Data & Analytics — Americas). Strong automation positioning. Already partners with 3CLogic for voice/contact center."
1,7,GlideFast Consulting,Aaron Johnson,Chief Technology Officer,https://www.linkedin.com/in/aaron-johnson-a66285b/,,,No,"ServiceNow Certified Technical Architect. With GlideFast since 2015 founding. Sets AI and platform technical direction. Technical validator for any partner solution.","Elite ServiceNow Partner (Apex Systems). 2026 Partner of the Year (Data & Analytics — Americas). Strong automation positioning. Already partners with 3CLogic for voice/contact center."
1,8,GlideFast Consulting,Jarred Pippy,Chief Operating Officer,https://www.linkedin.com/in/jarred-pippy-497ba633/,,,No,"COO overseeing all delivery and operations. Decision-maker for partner-led solution offerings. Quoted in 2026 Partner of the Year announcement.","Elite ServiceNow Partner (Apex Systems). 2026 Partner of the Year (Data & Analytics — Americas). Strong automation positioning. Already partners with 3CLogic for voice/contact center."
1,9,GlideFast Consulting,Jacob Benker,"VP, Professional Services",https://www.linkedin.com/in/jacob-benker-34543518/,,,No,"Runs delivery organization. Grew through GlideFast ranks (Solutions Architect to VP). Buy-in determines whether partner solution becomes standard delivery playbook.","Elite ServiceNow Partner (Apex Systems). 2026 Partner of the Year (Data & Analytics — Americas). Strong automation positioning. Already partners with 3CLogic for voice/contact center."
1,10,Crossfuze,Steve Griffiths,CEO,https://www.linkedin.com/in/fsgriffiths/,,,Yes,"Former COO stepped into CEO. Owns ServiceNow strategy, partnership decisions, and go-to-market. No dedicated alliances VP — alliance decisions roll up to him.","100% ServiceNow Elite Partner. 2500+ implementations. 2025 Elite Consulting & Implementation Partner of the Year. Active AI practice (Now Assist + Virtual Agent). Managed services arm Virteva (500 people)."
